TIME;TIME;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Czechia;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);27;:;36;40;41;45;48;56;59;59
Czechia;Internet use: finding information about goods and services;56;62;63;69;68;74;73;77;76;77
Czechia;Internet use: consulting wikis (to obtain knowledge on any subject);20;:;31;:;37;:;:;:;:;:
Czechia;Internet use: reading online news sites/newspapers/news magazines;:;:;63;69;70;:;77;:;80;79
Czechia;Internet use: playing/downloading games, images, films or music;:;25;:;45;:;:;:;:;:;:
Czechia;Internet use: listening to web radios and/or watching web TV;:;30;:;:;:;:;:;:;:;:
Czechia;Internet use: seeking health information;31;:;41;:;40;46;51;55;56;62
Czechia;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;59;:;60;:;69
Denmark;Internet use: looking for information about education, training or course offers;45;:;41;:;53;:;:;:;:;:
Denmark;Internet use: sending/receiving e-mails;:;86;88;90;79;93;94;94;94;96
Denmark;Internet use: telephoning or video calls;34;40;37;47;44;58;60;67;56;70
Denmark;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);55;:;64;66;65;74;75;79;81;85
Denmark;Internet use: finding information about goods and services;72;82;82;84;77;86;79;88;85;90
Denmark;Internet use: consulting wikis (to obtain knowledge on any subject);50;:;56;:;61;:;:;:;:;:
Denmark;Internet use: reading online news sites/newspapers/news magazines;:;:;70;71;66;70;83;:;82;86
Denmark;Internet use: playing/downloading games, images, films or music;:;53;:;55;:;:;:;:;:;:
Denmark;Internet use: listening to web radios and/or watching web TV;:;50;:;:;:;:;:;:;:;:
Denmark;Internet use: seeking health information;54;:;54;:;66;65;64;66;67;72
Denmark;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;87;:;88;:;91
Germany (until 1990 former territory of the FRG);Internet use: looking for information about education, training or course offers;36;:;36;:;37;:;:;:;:;:
Germany (until 1990 former territory of the FRG);Internet use: sending/receiving e-mails;:;76;78;80;81;83;84;85;86;87
Germany (until 1990 former territory of the FRG);Internet use: telephoning or video calls;18;22;23;24;27;28;49;53;55;65
Germany (until 1990 former territory of the FRG);Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);42;:;42;42;57;50;51;53;53;54
Germany (until 1990 former territory of the FRG);Internet use: finding information about goods and services;70;75;77;79;80;82;83;86;86;87
Germany (until 1990 former territory of the FRG);Internet use: consulting wikis (to obtain knowledge on any subject);58;:;62;:;66;:;:;:;:;:
Germany (until 1990 former territory of the FRG);Internet use: reading online news sites/newspapers/news magazines;:;:;57;61;63;64;67;:;71;76
Germany (until 1990 former territory of the FRG);Internet use: playing/downloading games, images, films or music;:;40;:;45;:;:;:;:;:;:
Germany (until 1990 former territory of the FRG);Internet use: listening to web radios and/or watching web TV;:;31;:;:;:;:;:;:;:;:
Germany (until 1990 former territory of the FRG);Internet use: seeking health information;54;:;58;:;62;63;63;64;66;70
Germany (until 1990 former territory of the FRG);Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;70;:;75;:;83
Estonia;Internet use: looking for information about education, training or course offers;34;:;33;:;43;:;:;:;:;:
Estonia;Internet use: sending/receiving e-mails;:;70;67;72;79;77;78;82;82;82
Estonia;Internet use: telephoning or video calls;38;46;47;43;41;41;44;44;53;63
Estonia;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);37;:;49;51;56;57;60;62;65;65
Estonia;Internet use: finding information about goods and services;54;70;60;76;75;77;75;80;78;81
Estonia;Internet use: consulting wikis (to obtain knowledge on any subject);41;:;45;:;55;:;:;:;:;:
Estonia;Internet use: reading online news sites/newspapers/news magazines;:;:;73;76;80;78;79;:;81;80
Estonia;Internet use: playing/downloading games, images, films or music;:;43;:;41;:;:;:;:;:;:
Estonia;Internet use: listening to web radios and/or watching web TV;:;39;:;:;:;:;:;:;:;:
Estonia;Internet use: seeking health information;33;:;39;:;55;57;59;60;60;58
Estonia;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;74;:;74;:;77
Ireland;Internet use: looking for information about education, training or course offers;38;:;33;:;32;:;:;:;:;:
Ireland;Internet use: sending/receiving e-mails;:;66;67;67;67;68;69;69;77;78
Ireland;Internet use: telephoning or video calls;21;29;26;29;29;35;39;38;46;67
Ireland;Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.);40;:;48;50;53;58;59;60;64;61
Ireland;Internet use: finding information about goods and services;53;63;61;68;64;68;70;73;77;72
Ireland;Internet use: consulting wikis (to obtain knowledge on any subject);22;:;27;:;26;:;:;:;:;:
Ireland;Internet use: reading online news sites/newspapers/news magazines;:;:;33;37;38;41;53;:;67;67
Ireland;Internet use: playing/downloading games, images, films or music;:;17;:;34;:;:;:;:;:;:
Ireland;Internet use: listening to web radios and/or watching web TV;:;32;:;:;:;:;:;:;:;:
Ireland;Internet use: seeking health information;40;:;38;:;35;36;37;47;57;60
Ireland;Internet use: playing/downloading games, listening to music or watching videos (excluding VOD);:;:;:;:;:;60;:;66;:;75
Greece;Internet use: looking for information about education, training or course offers;20;:;21;:;32;:;:;:;:;:
